pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2014000001,1,1,1,7400,303,306,,260021,,,,,51,2014,1,1,4,5,6,3,1,0,3,1,0,3,3,6,1,1,9,9,9,3,3,1,4,41,411,0,13,1,187117,693833
2014000002,1,1,2,2650,390,,9999,,,,,,20,2014,1,1,4,5,5,3,1,0,3,1,1,0,3,6,1,1,9,9,9,3,3,9,5,51,511,0,16,3,185113,672015
2014000003,1,1,4,0,,,,,20,0,90,,20,2014,1,1,4,5,4,2,1,1,0,1,1,3,3,3,1,1,9,9,9,1,2,2,5,53,513,99,99,1,177520,659502
2014000004,1,1,1,5000,1555,1511,,11920611,,,,,20,2014,1,1,4,5,6,2,1,9,0,1,0,3,3,3,1,1,9,9,9,1,3,1,5,51,511,0,13,1,179727,663713
2014000006,1,1,2,7600,505,,19,,,,,,12,2014,1,1,4,5,7,3,1,3,0,1,1,4,3,3,1,1,9,9,9,3,3,1,2,24,246,0,16,1,207503,759266
2014000009,1,1,2,6900,523,,9999,,,,,,51,2014,1,1,4,5,4,3,1,3,0,1,1,1,3,6,1,1,9,9,9,3,3,1,4,42,421,0,14,3,192944,675390
2014000015,1,1,1,168,112,201,,180024,,,,,51,2014,2,1,4,5,2,3,1,0,2,1,1,2,3,6,1,1,9,9,9,3,3,2,4,41,411,0,16,1,194201,691541
2014000017,1,1,2,6200,212,,69,,,,,,20,2014,2,1,4,5,4,3,1,0,1,1,1,3,3,3,1,1,9,9,4,8,0,9,5,51,513,0,14,1,175539,658895
2014000019,1,1,2,537,0,,9999,,,,,,11,2014,2,1,4,5,3,1,1,3,0,1,1,3,1,6,1,1,9,9,9,1,2,2,3,32,321,99,27,2,195801,722659
2014000020,1,1,1,8600,719,722,,130123,,,,,20,2014,3,1,4,5,1,3,1,3,0,1,1,2,3,6,1,1,9,9,9,3,3,1,5,51,512,0,14,1,182879,665244
