,,,,ספירות תנועה 2015 PUF,,,
,,,,מילון קטעי דרך לא-עירוניים,,,




kvish,keta,km_me,shem_km_me,ad_km,shem_km_ad,km_hazava,teur_hazava
1,10,0,מחלף קיבוץ גלויות,4.6,מחלף גנות,4.5,ליד צומת גנות
1,52,18.9,מחלף בן שמן,25,מחלף ענבה,24,בקילומטר העשרים וארבע
1,56,25,מחלף ענבה,33.6,מחלף לטרון,26,גלאי קבוע
1,60,33.6,מחלף לטרון,38.5,מחלף שער הגיא,36.5,"2.92 ק""מ ממחלף לטרון"
1,872,64,כניסה לדרך האלוף עוזי נ',74.7,מחלף אדומים,70.3,"5.69 ק""מ מדר' מעלה אדומים שד' משה"
2,52,43.8,מחלף נתניה,51,מחלף ינאי,49.4,"1.63 ק""מ ממחלף ינאי"
2,70,61.7,מחלף קיסריה,75.5,מחלף זכרון יעקב,68.2,"6.53 ק""מ ממחלף קיסריה"
2,80,75.5,מחלף זכרון יעקב,89.5,מחלף עתלית,89.2,300 מטר ממחלף עתלית
2,90,89.5,מחלף עתלית,99.2,מחלף חיפה דרום,95.6,"6.14 ק""מ ממחלף עתלית"
3,14,231.9,צומת הודיה,242.4,צומת טוביה,232.7,"0.74 ק""מ מצומת הודייה"
3,20,242.4,צומת טוביה,243.8,צומת מלאכי (קסטינה),242.9,"0.54 ק""מ מצומת טוביה"
3,30,243.8,צומת מלאכי (קסטינה),248,צומת ראם (מסמייה),245.5,"1.72 ק""מ מצומת קסטינה"
3,40,248,צומת ראם (מסמייה),254.4,מחלף שורק,249.3,"1.3 ק""מ מצומת ראם"
3,45,254.4,מחלף שורק,262.9,צומת נחשון (גבורה),262.5,400 מטר מצומת נחשון
3,50,262.9,צומת נחשון (הגבורה),269.3,צומת חטיבה שבע,263.1,"0.18 ק""מ מצומת נחשון"
3,58,269.3,צומת חטיבה שבע,271.7,מחלף לטרון,269.8,"0.47 ק""מ מצומת חטיבת שבע"
3,60,271.7,מחלף לטרון,275,כניסה למודיעין דרום,272,"0.29 ק""מ ממחלף לטרון"
4,10,51.1,צומת חבל עזה,55,צומת יד מרדכי,54.7,"0.3 ק""מ מצומת יד מרדכי"
4,20,55,צומת יד מרדכי,63.7,צומת אשקלון,55.4,"0.38 ק""מ מצומת יד מרדכי"
4,22,63.7,צומת אשקלון,64.6,צומת ברכיה,64.5,"0.2 ק""מ מצומת ברכיה"
4,30,64.6,צומת ברכיה,65.8,צומת אבא הלל,65.6,"0.2 ק""מ מצומת אבא הלל"
4,40,65.8,צומת אבא הלל,72,צומת אשכולות,69.4,"3.61 ק""מ מצומת אבא הלל"
4,50,72,צומת אשכולות,78,כניסה לאשדוד (דרום),73.1,כמאה מטר מצומת אשכולות
4,54,78,כניסה לאשדוד (דרום),85.6,מחלף אשדוד,81.7,"3.74 ק""מ מכניסה לאשדוד (דרום)"
4,158,131.7,צומת רעננה - צפון (צפ'),139.2,מחלף דרור,138.8,"0.38 ק""מ מצומת דרור"
4,160,139.2,מחלף דרור,146.6,צומת השרון,139.5,"0.27 ק""מ מצומת דרור"
4,170,146.6,צומת השרון,154.5,"צומת הרא""ה",147,"0.37 ק""מ מצומת השרון"
4,180,154.5,"צומת הרא""ה",159.5,צומת חדרה,154.8,"0.26 ק""מ מצומת הרא""ה"
4,190,159.5,צומת חדרה,161.4,צומת חרושת,161.1,"1.62 ק""מ מצומת חדרה"
4,200,161.4,צומת חרושת,162.7,צומת נחל חדרה,161.7,"0.33 ק""מ מצומת חרושת"
4,210,162.7,צומת נחל חדרה,167.1,צומת אור עקיבא,166.2,"3.55 ק""מ מצומת נחל חדרה"
4,220,168.7,צומת בנימינה,177.4,צומת פוריידיס,170.4,"1.73 ק""מ מצומת בנימינה"
4,240,190.8,צומת עתלית,195,כניסה לטירת כרמל (דרום),191.4,"0.63 ק""מ מצומת עתלית"
4,282,230.3,צומת עכו (מזרח),234.5,צומת שמרת,231.3,"1.06 ק""מ מצות עכו (מזרח)"
4,300,240.3,צומת נהרייה,244.4,כניסה לחוף אכזיב,244.2,"3.91 ק""מ מצומת נהרייה"
4,302,244.4,כניסה לחוף אכזיב,248.4,צומת בצת,248.3,"0.08 ק""מ מצומת בצת"
4,310,248.4,צומת בצת,250.6,צומת,248.6,כמאתיים מטר מצומת בצת
5,50,13.8,מחלף קסם,16,כניסה לראש העין (מערב),14.6,"0.89 ק""מ ממחלף קסם"
5,60,16,כניסה לראש העין (מערב),19.7,מחלף שער שומרון,17.1,"1.12 ק""מ מכניסה לראש העין (מערב)"
5,810,19.7,מחלף שער שומרון,36.8,צומת אריאל,21,"1.32 ק""מ ממחלף שער שומרון"
6,10,100,מחלף שורק,115,מחלף נשרים,114,גלאי קבוע
6,20,115,מחלף נשרים,122,מחלף בן שמן - ב',119,גלאי קבוע
6,30,122,מחלף בן שמן - ב',136,מחלף נחשונים,136,גלאי קבוע
6,40,136,מחלף נחשונים,142,מחלף קסם,142,גלאי קבוע
6,50,142,מחלף קסם,145,מחלף חורשים,142,גלאי קבוע
6,60,145,מחלף חורשים,153,מחלף אייל,145,גלאי קבוע
6,70,153,מחלף אייל,166,מחלף ניצני עוז,166,גלאי קבוע
