shana,kvish,keta,maslul,hodesh,taarich,yom,shaa,nefah,status
2015,222,10,0,2,17,3,0,39,
2015,222,10,0,2,17,3,1,20,
2015,222,10,0,2,17,3,2,14,
2015,222,10,0,2,17,3,3,16,
2015,222,10,0,2,17,3,4,9,
2015,222,10,0,2,17,3,5,67,
2015,222,10,0,2,17,3,6,71,
2015,222,10,0,2,17,3,7,204,
2015,222,10,0,2,17,3,8,314,
2015,222,10,0,2,17,3,9,265,
2015,222,10,0,2,17,3,10,227,
2015,222,10,0,2,17,3,11,258,
2015,222,10,0,2,17,3,12,217,
2015,222,10,0,2,17,3,13,244,
2015,222,10,0,2,17,3,14,271,
2015,222,10,0,2,17,3,15,225,
2015,222,10,0,2,17,3,16,197,
2015,222,10,0,2,17,3,17,222,
2015,222,10,0,2,17,3,18,151,
2015,222,10,0,2,17,3,19,80,
2015,222,10,0,2,17,3,20,96,
2015,222,10,0,2,17,3,21,89,
2015,222,10,0,2,17,3,22,53,
2015,222,10,0,2,17,3,23,52,
2015,222,10,0,2,18,4,0,21,
2015,222,10,0,2,18,4,1,20,
2015,222,10,0,2,18,4,2,12,
2015,222,10,0,2,18,4,3,17,
2015,222,10,0,2,18,4,4,5,
2015,222,10,0,2,18,4,5,38,
2015,222,10,0,2,18,4,6,87,
2015,222,10,0,2,18,4,7,182,
2015,222,10,0,2,18,4,8,297,
2015,222,10,0,2,18,4,9,233,
2015,222,10,0,2,18,4,10,233,
2015,222,10,0,2,18,4,11,221,
2015,222,10,0,2,18,4,12,248,
2015,222,10,0,2,18,4,13,212,
2015,222,10,0,2,18,4,14,264,
2015,222,10,0,2,18,4,15,213,
2015,222,10,0,2,18,4,16,207,
2015,222,10,0,2,18,4,17,193,
2015,222,10,0,2,18,4,18,147,
2015,222,10,0,2,18,4,19,89,
2015,222,10,0,2,18,4,20,82,
2015,222,10,0,2,18,4,21,75,
2015,222,10,0,2,18,4,22,64,
2015,222,10,0,2,18,4,23,52,
2015,222,10,0,2,19,5,0,36,
2015,222,10,0,2,19,5,1,38,
2015,222,10,0,2,19,5,2,16,
2015,222,10,0,2,19,5,3,6,
2015,222,10,0,2,19,5,4,5,
2015,222,10,0,2,19,5,5,29,
2015,222,10,0,2,19,5,6,83,
2015,222,10,0,2,19,5,7,190,
2015,222,10,0,2,19,5,8,273,
2015,222,10,0,2,19,5,9,282,
2015,222,10,0,2,19,5,10,401,
2015,222,10,0,2,19,5,11,330,
2015,222,10,0,2,19,5,12,308,
2015,222,10,0,2,19,5,13,235,
2015,222,10,0,2,19,5,14,249,
2015,222,10,0,2,19,5,15,206,
2015,222,10,0,2,19,5,16,170,
2015,222,10,0,2,19,5,17,104,
2015,222,10,0,2,19,5,18,95,
2015,222,10,0,2,19,5,19,56,
2015,222,10,0,2,19,5,20,46,
2015,222,10,0,2,19,5,21,31,
2015,222,10,0,2,19,5,22,20,
2015,222,10,0,2,19,5,23,21,
2015,222,10,0,2,20,6,0,5,
2015,222,10,0,2,20,6,1,5,
2015,222,10,0,2,20,6,2,2,
2015,222,10,0,2,20,6,3,2,
2015,222,10,0,2,20,6,4,5,
2015,222,10,0,2,20,6,5,5,
2015,222,10,0,2,20,6,6,16,
2015,222,10,0,2,20,6,7,26,
2015,222,10,0,2,20,6,8,42,
2015,222,10,0,2,20,6,9,39,
2015,222,10,0,2,20,6,10,51,
2015,222,10,0,2,20,6,11,40,
2015,222,10,0,2,20,6,12,63,
2015,222,10,0,2,20,6,13,74,
2015,222,10,0,2,20,6,14,65,
2015,222,10,0,2,20,6,15,47,
2015,222,10,0,2,20,6,16,47,
2015,222,10,0,2,20,6,17,29,
2015,222,10,0,2,20,6,18,26,
2015,222,10,0,2,20,6,19,7,
2015,222,10,0,2,20,6,20,3,
2015,222,10,0,2,20,6,21,5,
2015,222,10,0,2,20,6,22,1,
2015,222,10,0,2,20,6,23,13,
2015,222,10,0,2,21,7,0,5,
2015,222,10,0,2,21,7,1,3,
2015,222,10,0,2,21,7,2,3,
2015,222,10,0,2,21,7,3,0,
2015,222,10,0,2,21,7,4,0,
2015,222,10,0,2,21,7,5,0,
2015,222,10,0,2,21,7,6,0,
2015,222,10,0,2,21,7,7,3,
2015,222,10,0,2,21,7,8,18,
2015,222,10,0,2,21,7,9,27,
2015,222,10,0,2,21,7,10,29,
2015,222,10,0,2,21,7,11,37,
2015,222,10,0,2,21,7,12,61,
2015,222,10,0,2,21,7,13,67,
2015,222,10,0,2,21,7,14,62,
2015,222,10,0,2,21,7,15,74,
2015,222,10,0,2,21,7,16,58,
2015,222,10,0,2,21,7,17,38,
2015,222,10,0,2,21,7,18,11,
2015,222,10,0,2,21,7,19,9,
2015,222,10,0,2,21,7,20,14,
2015,222,10,0,2,21,7,21,31,
2015,222,10,0,2,21,7,22,6,
2015,222,10,0,2,21,7,23,3,
2015,222,10,0,2,22,1,0,4,
2015,222,10,0,2,22,1,1,5,
2015,222,10,0,2,22,1,2,0,
2015,222,10,0,2,22,1,3,0,
2015,222,10,0,2,22,1,4,3,
2015,222,10,0,2,22,1,5,12,
2015,222,10,0,2,22,1,6,32,
2015,222,10,0,2,22,1,7,92,
2015,222,10,0,2,22,1,8,187,
2015,222,10,0,2,22,1,9,293,
2015,222,10,0,2,22,1,10,304,
2015,222,10,0,2,22,1,11,231,
2015,222,10,0,2,22,1,12,265,
2015,222,10,0,2,22,1,13,242,
2015,222,10,0,2,22,1,14,160,
2015,222,10,0,2,22,1,15,159,
2015,222,10,0,2,22,1,16,202,
2015,222,10,0,2,22,1,17,146,
2015,222,10,0,2,22,1,18,110,
2015,222,10,0,2,22,1,19,114,
2015,222,10,0,2,22,1,20,93,
2015,222,10,0,2,22,1,21,61,
2015,222,10,0,2,22,1,22,61,
2015,222,10,0,2,22,1,23,28,
2015,222,10,0,2,23,2,0,23,
2015,222,10,0,2,23,2,1,3,
2015,222,10,0,2,23,2,2,20,
2015,222,10,0,2,23,2,3,22,
2015,222,10,0,2,23,2,4,9,
2015,222,10,0,2,23,2,5,29,
2015,222,10,0,2,23,2,6,76,
2015,222,10,0,2,23,2,7,164,
2015,222,10,0,2,23,2,8,249,
2015,222,10,0,2,23,2,9,173,
2015,222,10,0,2,23,2,10,179,
2015,222,10,0,2,23,2,11,159,
2015,222,10,0,2,23,2,12,191,
2015,222,10,0,2,23,2,13,192,
2015,222,10,0,2,23,2,14,183,
2015,222,10,0,2,23,2,15,213,
2015,222,10,0,2,23,2,16,231,
2015,222,10,0,2,23,2,17,206,
2015,222,10,0,2,23,2,18,109,
2015,222,10,0,2,23,2,19,84,
2015,222,10,0,2,23,2,20,74,
2015,222,10,0,2,23,2,21,72,
2015,222,10,0,2,23,2,22,62,
2015,222,10,0,2,23,2,23,77,
2015,222,20,0,2,17,3,0,8,
2015,222,20,0,2,17,3,1,3,
2015,222,20,0,2,17,3,2,3,
2015,222,20,0,2,17,3,3,6,
2015,222,20,0,2,17,3,4,6,
2015,222,20,0,2,17,3,5,42,
2015,222,20,0,2,17,3,6,101,
2015,222,20,0,2,17,3,7,233,
2015,222,20,0,2,17,3,8,269,
2015,222,20,0,2,17,3,9,201,
2015,222,20,0,2,17,3,10,213,
2015,222,20,0,2,17,3,11,181,
2015,222,20,0,2,17,3,12,207,
2015,222,20,0,2,17,3,13,298,
2015,222,20,0,2,17,3,14,200,
2015,222,20,0,2,17,3,15,234,
2015,222,20,0,2,17,3,16,223,
2015,222,20,0,2,17,3,17,175,
2015,222,20,0,2,17,3,18,109,
2015,222,20,0,2,17,3,19,84,
2015,222,20,0,2,17,3,20,67,
2015,222,20,0,2,17,3,21,34,
2015,222,20,0,2,17,3,22,31,
2015,222,20,0,2,17,3,23,25,
2015,222,20,0,2,18,4,0,13,
2015,222,20,0,2,18,4,1,11,
2015,222,20,0,2,18,4,2,5,
2015,222,20,0,2,18,4,3,3,
2015,222,20,0,2,18,4,4,3,
2015,222,20,0,2,18,4,5,40,
2015,222,20,0,2,18,4,6,90,
2015,222,20,0,2,18,4,7,232,
2015,222,20,0,2,18,4,8,255,
2015,222,20,0,2,18,4,9,194,
2015,222,20,0,2,18,4,10,190,
2015,222,20,0,2,18,4,11,204,
2015,222,20,0,2,18,4,12,243,
2015,222,20,0,2,18,4,13,268,
2015,222,20,0,2,18,4,14,276,
2015,222,20,0,2,18,4,15,202,
2015,222,20,0,2,18,4,16,195,
2015,222,20,0,2,18,4,17,140,
2015,222,20,0,2,18,4,18,100,
2015,222,20,0,2,18,4,19,104,
2015,222,20,0,2,18,4,20,57,
2015,222,20,0,2,18,4,21,44,
2015,222,20,0,2,18,4,22,40,
2015,222,20,0,2,18,4,23,29,
2015,222,20,0,2,19,5,0,13,
2015,222,20,0,2,19,5,1,5,
2015,222,20,0,2,19,5,2,9,
2015,222,20,0,2,19,5,3,5,
2015,222,20,0,2,19,5,4,1,
2015,222,20,0,2,19,5,5,28,
2015,222,20,0,2,19,5,6,93,
2015,222,20,0,2,19,5,7,179,
2015,222,20,0,2,19,5,8,224,
2015,222,20,0,2,19,5,9,206,
2015,222,20,0,2,19,5,10,232,
2015,222,20,0,2,19,5,11,182,
2015,222,20,0,2,19,5,12,213,
2015,222,20,0,2,19,5,13,165,
2015,222,20,0,2,19,5,14,151,
2015,222,20,0,2,19,5,15,183,
2015,222,20,0,2,19,5,16,181,
2015,222,20,0,2,19,5,17,98,
2015,222,20,0,2,19,5,18,67,
2015,222,20,0,2,19,5,19,74,
2015,222,20,0,2,19,5,20,70,
2015,222,20,0,2,19,5,21,39,
2015,222,20,0,2,19,5,22,35,
2015,222,20,0,2,19,5,23,36,
2015,222,20,0,2,20,6,0,18,
2015,222,20,0,2,20,6,1,11,
2015,222,20,0,2,20,6,2,11,
2015,222,20,0,2,20,6,3,7,
2015,222,20,0,2,20,6,4,4,
2015,222,20,0,2,20,6,5,8,
2015,222,20,0,2,20,6,6,54,
2015,222,20,0,2,20,6,7,63,
2015,222,20,0,2,20,6,8,84,
2015,222,20,0,2,20,6,9,92,
2015,222,20,0,2,20,6,10,74,
2015,222,20,0,2,20,6,11,85,
2015,222,20,0,2,20,6,12,117,
2015,222,20,0,2,20,6,13,87,
2015,222,20,0,2,20,6,14,92,
2015,222,20,0,2,20,6,15,91,
2015,222,20,0,2,20,6,16,89,
