כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
1,10,0.0,מחלף קיבוץ גלויות,46.0,מחלף גנות,45.0,ליד צומת גנות,,
1,52,189.0,מחלף בן שמן,250.0,מחלף ענבה,231.0,בקילומטר העשרים ושלוש,193638,647061
1,56,250.0,מחלף ענבה,336.0,מחלף לטרון,260.0,גלאי קבוע,,
1,60,336.0,מחלף לטרון,385.0,מחלף שער הגיא,365.0,"2.92 ק""מ ממחלף לטרון",200817,636966
2,70,617.0,מחלף קיסריה,755.0,מחלף זכרון יעקב,682.0,"6.53 ק""מ ממחלף קיסריה",192262,714572
2,80,755.0,מחלף זכרון יעקב,895.0,מחלף עתלית,892.0,300 מטר ממחלף עתלית,195812,734655
3,10,2278.0,צומת אבא הלל,2319.0,צומת הודיה,2283.0,"0.52 ק""מ מצומת אבא הילל",163509,620663
3,14,2319.0,צומת הודיה,2424.0,צומת טוביה,2327.0,"0.74 ק""מ מצומת הודייה",167792,621575
3,40,2480.0,צומת ראם (מסמייה),2544.0,מחלף שורק,2486.0,600 מטר מצומת ראם,1805519,630108
3,45,2544.0,מחלף שורק,2629.0,צומת נחשון (גבורה),2625.0,400 מטר מצומת נחשון,192048,635791
3,50,2629.0,צומת נחשון (הגבורה),2693.0,צומת חטיבה שבע,2630.0,"0.09 ק""מ מצומת נחשון",192331,636009
3,58,2693.0,צומת חטיבה שבע,2717.0,מחלף לטרון,2698.0,"0.47 ק""מ מצומת חטיבת שבע",198415,638219
3,60,2717.0,מחלף לטרון,2750.0,כניסה למודיעין דרום,2720.0,"0.29 ק""מ ממחלף לטרון",199158,638602
3,810,2750.0,כניסה למודיעין דרום,2821.0,צומת בית חורון,2752.0,0.2 מכניסה למודיעין דרום,200831,640283
4,22,637.0,צומת אשקלון,646.0,צומת ברכיה,645.0,"0.2 ק""מ מצומת ברכיה",162764,619245
4,30,646.0,צומת ברכיה,658.0,צומת אבא הלל,656.0,"0.2 ק""מ מצומת אבא הלל",162958,620271
4,40,658.0,צומת אבא הלל,720.0,צומת אשכולות,694.0,"3.61 ק""מ מצומת אבא הלל",164265,623811
4,50,720.0,צומת אשכולות,780.0,כניסה לאשדוד (דרום),723.0,300 מאה מטר מצומת אשכולות,165780,626364
4,54,780.0,כניסה לאשדוד (דרום),856.0,מחלף אשדוד,817.0,"3.74 ק""מ מכניסה לאשדוד (דרום)",170648,634225
4,170,1466.0,צומת השרון,1545.0,"צומת הרא""ה",1470.0,"0.37 ק""מ מצומת השרון",191260,692639
4,180,1545.0,"צומת הרא""ה",1595.0,צומת חדרה,1548.0,"0.26 ק""מ מצומת הרא""ה",191116,700264
4,190,1595.0,צומת חדרה,1614.0,צומת חרושת,1611.0,"1.62 ק""מ מצומת חדרה",191582,706578
4,210,1627.0,צומת נחל חדרה,1671.0,צומת אור עקיבא,1662.0,"3.55 ק""מ מצומת נחל חדרה",193244,711230
4,218,1671.0,צומת אור עקיבא,1687.0,צומת בנימינה,1673.0,"0.18 ק""מ מצומת אור עקיבא",193559,712069
