shana,kvish,keta,maslul,hodesh,taarich,yom,shaa,nefah,status
2016,1,10,1,9,11,1,0,1710,
2016,1,10,1,9,11,1,1,934,
2016,1,10,1,9,11,1,2,800,
2016,1,10,1,9,11,1,3,637,
2016,1,10,1,9,11,1,4,588,
2016,1,10,1,9,11,1,5,951,
2016,1,10,1,9,11,1,6,2312,
2016,1,10,1,9,11,1,7,3769,
2016,1,10,1,9,11,1,8,3348,
2016,1,10,1,9,11,1,9,2788,
2016,1,10,1,9,11,1,10,2879,
2016,1,10,1,9,11,1,11,3318,
2016,1,10,1,9,11,1,12,3713,
2016,1,10,1,9,11,1,13,4102,
2016,1,10,1,9,11,1,14,4333,
2016,1,10,1,9,11,1,15,4583,
2016,1,10,1,9,11,1,16,4614,
2016,1,10,1,9,11,1,17,4367,
2016,1,10,1,9,11,1,18,4040,
2016,1,10,1,9,11,1,19,3766,
2016,1,10,1,9,11,1,20,3443,
2016,1,10,1,9,11,1,21,2793,
2016,1,10,1,9,11,1,22,2439,
2016,1,10,1,9,11,1,23,2134,
2016,1,10,1,9,12,2,0,1317,
2016,1,10,1,9,12,2,1,759,
2016,1,10,1,9,12,2,2,727,
2016,1,10,1,9,12,2,3,660,
2016,1,10,1,9,12,2,4,664,
2016,1,10,1,9,12,2,5,912,
2016,1,10,1,9,12,2,6,2266,
2016,1,10,1,9,12,2,7,3685,
2016,1,10,1,9,12,2,8,3502,
2016,1,10,1,9,12,2,9,2772,
2016,1,10,1,9,12,2,10,2704,
2016,1,10,1,9,12,2,11,3224,
2016,1,10,1,9,12,2,12,3688,
2016,1,10,1,9,12,2,13,4078,
2016,1,10,1,9,12,2,14,3936,
2016,1,10,1,9,12,2,15,4249,
2016,1,10,1,9,12,2,16,4497,
2016,1,10,1,9,12,2,17,4399,
2016,1,10,1,9,12,2,18,4330,
2016,1,10,1,9,12,2,19,3972,
2016,1,10,1,9,12,2,20,3378,
2016,1,10,1,9,12,2,21,2918,
2016,1,10,1,9,12,2,22,2433,
2016,1,10,1,9,12,2,23,2563,
2016,1,10,1,9,13,3,0,2519,
2016,1,10,1,9,13,3,1,989,
2016,1,10,1,9,13,3,2,790,
2016,1,10,1,9,13,3,3,702,
2016,1,10,1,9,13,3,4,581,
2016,1,10,1,9,13,3,5,884,
2016,1,10,1,9,13,3,6,2262,
2016,1,10,1,9,13,3,7,3599,
2016,1,10,1,9,13,3,8,3393,
2016,1,10,1,9,13,3,9,2669,
2016,1,10,1,9,13,3,10,2751,
2016,1,10,1,9,13,3,11,3213,
2016,1,10,1,9,13,3,12,3668,
2016,1,10,1,9,13,3,13,4064,
2016,1,10,1,9,13,3,14,3882,
2016,1,10,1,9,13,3,15,4533,
2016,1,10,1,9,13,3,16,4648,
2016,1,10,1,9,13,3,17,4318,
2016,1,10,1,9,13,3,18,4233,
2016,1,10,1,9,13,3,19,4122,
2016,1,10,1,9,13,3,20,3752,
2016,1,10,1,9,13,3,21,3418,
2016,1,10,1,9,13,3,22,2753,
2016,1,10,1,9,13,3,23,2525,
2016,1,10,1,9,14,4,0,1929,
2016,1,10,1,9,14,4,1,1030,
2016,1,10,1,9,14,4,2,859,
2016,1,10,1,9,14,4,3,663,
2016,1,10,1,9,14,4,4,660,
2016,1,10,1,9,14,4,5,898,
2016,1,10,1,9,14,4,6,2217,
2016,1,10,1,9,14,4,7,3696,
2016,1,10,1,9,14,4,8,3380,
2016,1,10,1,9,14,4,9,2567,
2016,1,10,1,9,14,4,10,2640,
2016,1,10,1,9,14,4,11,3253,
2016,1,10,1,9,14,4,12,3881,
2016,1,10,1,9,14,4,13,4060,
2016,1,10,1,9,14,4,14,4229,
2016,1,10,1,9,14,4,15,4376,
2016,1,10,1,9,14,4,16,4632,
2016,1,10,1,9,14,4,17,4440,
2016,1,10,1,9,14,4,18,4279,
2016,1,10,1,9,14,4,19,4058,
2016,1,10,1,9,14,4,20,3666,
2016,1,10,1,9,14,4,21,3743,
2016,1,10,1,9,14,4,22,3116,
2016,1,10,1,9,14,4,23,3153,
2016,1,10,1,9,15,5,0,2035,
2016,1,10,1,9,15,5,1,1082,
2016,1,10,1,9,15,5,2,873,
2016,1,10,1,9,15,5,3,715,
2016,1,10,1,9,15,5,4,762,
2016,1,10,1,9,15,5,5,975,
2016,1,10,1,9,15,5,6,2277,
2016,1,10,1,9,15,5,7,3507,
