כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
1,52,18.9,מחלף בן שמן,25,מחלף ענבה,23.1,בקילומטר העשרים ושלוש,193645,647061
1,56,25,מחלף ענבה,33.6,מחלף לטרון,26,גלאי קבוע,,
1,872,64,כניסה לדרך האלוף עוזי נרקיס,74.7,מחלף אדומים,70.3,"5.69 ק""מ מדר' מעלה אדומים שד' משה",225579,632400
2,52,43.8,מחלף נתניה,51,מחלף ינאי,49.4,"1.63 ק""מ ממחלף ינאי",187331,697092
2,70,61.7,מחלף קיסריה,75.5,מחלף זכרון יעקב,68.2,"6.53 ק""מ ממחלף קיסריה",192262,714572
2,80,75.5,מחלף זכרון יעקב,89.5,מחלף עתלית,89.2,300 מטר ממחלף עתלית,195812,734653
3,10,227.8,צומת אבא הלל,231.9,צומת הודיה,228.3,"0.52 ק""מ מצומת אבא הילל",163499,620665
3,14,231.9,צומת הודיה,242.4,צומת טוביה,232.7,"0.74 ק""מ מצומת הודייה",167796,621572
3,20,242.4,צומת טוביה,243.8,צומת מלאכי (קסטינה),242.9,"0.54 ק""מ מצומת טוביה",176575,626404
3,30,243.8,צומת מלאכי (קסטינה),248,צומת ראם (מסמייה),245.5,"1.72 ק""מ מצומת קסטינה",178161,628162
3,40,248,צומת ראם (מסמייה),254.4,מחלף שורק,261.7,"13.72 ק""מ מצומת ראם",180519,630108
3,45,254.4,מחלף שורק,262.9,צומת נחשון (הגבורה),262.5,400 מטר מצומת נחשון,192048,635791
3,50,262.9,צומת נחשון (הגבורה),269.3,צומת חטיבה שבע,263.1,"0.18 ק""מ מצומת נחשון",192362,636013
3,58,269.3,צומת חטיבה שבע,271.7,מחלף לטרון,269.8,"0.47 ק""מ מצומת חטיבת שבע",198423,638214
3,60,271.7,מחלף לטרון,275,כניסה למודיעין מכבים רעות דרום,272,"0.29 ק""מ ממחלף לטרון",199137,638575
3,810,275,כניסה למודיעין מכבים רעות דרום,282.1,צומת בית חורון,275.2,0.2 מכניסה למודיעין דרום,200829,640310
4,10,51.1,צומת חבל עזה,55,צומת יד מרדכי,54.7,"0.3 ק""מ מצומת יד מרדכי",158346,610499
4,20,55,צומת יד מרדכי,63.7,צומת אשקלון,63.5,כמאתיים מטר ממסעף אשקלון,158713,611076
4,22,63.7,צומת אשקלון,64.6,צומת ברכיה,64.5,"0.2 ק""מ מצומת ברכיה",162755,619281
4,30,64.6,צומת ברכיה,65.8,צומת אבא הלל,65.6,"0.2 ק""מ מצומת אבא הלל",162947,620275
4,40,65.8,צומת אבא הלל,72,צומת אשכולות,69.4,"3.61 ק""מ מצומת אבא הלל",164261,623806
4,50,72,צומת אשכולות,78,כניסה לאשדוד (דרום),73.1,כמאה מטר מצומת אשכולות,165780,626364
4,54,78,כניסה לאשדוד (דרום),85.6,מחלף אשדוד,81.7,"3.74 ק""מ מכניסה לאשדוד (דרום)",170417,634415
4,158,131.7,מחלף רעננה - צפון (צפ`),139.2,מחלף דרור,138.8,"0.38 ק""מ מצומת דרור",189906,684530
4,160,139.2,מחלף דרור,146.6,צומת השרון,139.5,"0.27 ק""מ מצומת דרור",190047,685204
4,170,146.6,צומת השרון,154.5,"צומת הרא""ה",147,"0.37 ק""מ מצומת השרון",191274,692676
4,180,154.5,"צומת הרא""ה",159.5,צומת חדרה,154.7,"ליד אבן ק""מ 951",191125,700266
4,190,159.5,צומת חדרה,161.4,צומת חרושת,161.1,"1.62 ק""מ מצומת חדרה",191597,706543
4,200,161.4,צומת חרושת,162.7,צומת נחל חדרה,161.7,"0.33 ק""מ מצומת חרושת",191592,707188
4,210,162.7,צומת נחל חדרה,167.1,צומת אור עקיבא,166.9,כמאתיים מטר מצומת אור עקיבא,193261,711211
4,218,167.1,צומת אור עקיבא,168.7,צומת בנימינה,168.6,כמאה מטר מצומת בנימינה,193580,712064
4,220,168.7,צומת בנימינה,177.4,צומת פוריידיס,168.8,כמאה מטר מצומת בנימינה,193594,715383
4,240,190.8,צומת עתלית,195,כניסה לטירת כרמל (דרום),191.4,"0.63 ק""מ מצומת עתלית",197429,735797
4,282,230.3,צומת עכו (מזרח),234.5,צומת שמרת,231.3,"1.06 ק""מ מצות עכו (מזרח)",209437,759257
4,290,234.5,צומת שמרת,240.3,צומת נהרייה,235,כשלוש מאות מטר מהמסעף,208856,762053
4,300,240.3,צומת נהרייה,244.4,כניסה לחוף אכזיב,244.2,"3.91 ק""מ מצומת נהרייה",210313,771709
4,302,244.4,כניסה לחוף אכזיב,248.4,צומת בצת,248.3,"0.08 ק""מ מצומת בצת",211129,775338
4,310,248.4,צומת בצת,250.6,צומת,248.6,כמאתיים מטר מצומת בצת,211166,775716
5,50,13.8,מחלף קסם,16,כניסה לראש העין (מערב),13.9,כמאה מטר מצומת קסם,195336,668935
5,60,16,כניסה לראש העין (מערב),19.7,מחלף שער שומרון,17.1,"1.12 ק""מ מכניסה לראש העין (מערב)",197460,667679
5,810,19.7,מחלף שער שומרון,36.8,צומת אריאל,21,"1.32 ק""מ ממחלף שער שומרון",201224,668302
6,10,100,מחלף שורק,115,מחלף נשרים,114,נתונים מגלאי,,
6,20,115,מחלף נשרים,122,מחלף בן שמן - ב',119,נתונים מגלאי,,
6,30,122,מחלף בן שמן - ב',136,מחלף נחשונים,136,נתונים מגלאי,,
6,40,136,מחלף נחשונים,142,מחלף קסם,142,נתונים מגלאי,,
6,50,142,מחלף קסם,145,מחלף חורשים,142,נתונים מגלאי,,
6,60,145,מחלף חורשים,153,מחלף אייל,145,נתונים מגלאי,,
6,70,153,מחלף אייל,166,מחלף ניצני עוז,166,נתונים מגלאי,,
6,80,166,מחלף ניצני עוז,177,מחלף באקה-ג`ת,177,נתונים מגלאי,,
6,90,177,מחלף באקה-ג`ת,185,מחלף עירון,185,נתונים מגלאי,,
6,100,185,מחלף עירון,201,כניסה לעין תות,185,נתונים מגלאי,,
9,10,2.2,צומת יער חדרה,5.5,מחלף חדרה דרום,23,ליד צומת יער חדרה,191352,701751
9,20,5.5,מחלף חדרה דרום,12.7,צומת חביבה,10,ליד צומת חביבה,199564,702107
20,12,13.2,מחלף קיבוץ גלויות,14.4,מחלף לה-גרדיה,13.5,נתונים מגלאי,,
20,13,14.4,מחלף לה-גרדיה,16.1,מחלף השלום,15,נתונים מגלאי,,
20,14,16.1,מחלף השלום,17,מחלף הרכבת,17,נתונים מגלאי,,
20,17,19.5,מחלף רוקח,21.6,"מחלף קק""ל",21,נתונים מגלאי,,
25,10,106.5,צומת הערבה,142.4,צומת דימונה,107,ליד צומת הערבה,202458,551938
25,30,184,צומת עולים,194,צומת הנשיא,193.8,כמאתיים מטר מצומת הנשיא,171540,581897
25,40,194,צומת הנשיא,198.7,צומת גילת,194.1,כמאה מטר מצומת הנשיא,171223,582247
25,50,198.7,צומת גילת,209,צומת הגדי,199,"0.34 ק""מ מצומת גילת",166945,583224
25,58,209,צומת הגדי,210.7,צומת נתיבות,210,"1.02 ק""מ מצומת הגדי",162178,592555
25,60,210.7,צומת נתיבות,218.9,צומת סעד,214.2,"3.53 ק""מ מצומת נתיבות",159230,595074
25,70,218.9,צומת סעד,223,מחסום נחל עוז,219.1,"0.16 ק""מ מצומת סעד",155033,597942
