shana,kvish,keta,maslul,hodesh,taarich,yom,shaa,nefah,status
2018,1,54,1,6,14,5,0,1018,
2018,1,54,1,6,14,5,1,814,
2018,1,54,1,6,14,5,2,450,
2018,1,54,1,6,14,5,3,415,
2018,1,54,1,6,14,5,4,471,
2018,1,54,1,6,14,5,5,1092,
2018,1,54,1,6,14,5,6,2983,
2018,1,54,1,6,14,5,7,4079,
2018,1,54,1,6,14,5,8,3996,
2018,1,54,1,6,14,5,9,3637,
2018,1,54,1,6,14,5,10,3256,
2018,1,54,1,6,14,5,11,3413,
2018,1,54,1,6,14,5,12,3566,
2018,1,54,1,6,14,5,13,2811,
2018,1,54,1,6,14,5,14,2881,
2018,1,54,1,6,14,5,15,3189,
2018,1,54,1,6,14,5,16,3742,
2018,1,54,1,6,14,5,17,4116,
2018,1,54,1,6,14,5,18,3364,
2018,1,54,1,6,14,5,19,3274,
2018,1,54,1,6,14,5,20,3226,
2018,1,54,1,6,14,5,21,2777,
2018,1,54,1,6,14,5,22,2364,
2018,1,54,1,6,14,5,23,2288,
2018,1,54,1,6,15,6,0,1779,
2018,1,54,1,6,15,6,1,875,
2018,1,54,1,6,15,6,2,817,
2018,1,54,1,6,15,6,3,485,
2018,1,54,1,6,15,6,4,492,
2018,1,54,1,6,15,6,5,570,
2018,1,54,1,6,15,6,6,887,
2018,1,54,1,6,15,6,7,1698,
2018,1,54,1,6,15,6,8,2516,
2018,1,54,1,6,15,6,9,2658,
2018,1,54,1,6,15,6,10,2762,
2018,1,54,1,6,15,6,11,3214,
2018,1,54,1,6,15,6,12,3460,
2018,1,54,1,6,15,6,13,3606,
2018,1,54,1,6,15,6,14,3295,
2018,1,54,1,6,15,6,15,3192,
2018,1,54,1,6,15,6,16,3046,
2018,1,54,1,6,15,6,17,2650,
2018,1,54,1,6,15,6,18,2214,
2018,1,54,1,6,15,6,19,1559,
2018,1,54,1,6,15,6,20,1165,
2018,1,54,1,6,15,6,21,1252,
2018,1,54,1,6,15,6,22,1504,
2018,1,54,1,6,15,6,23,1654,
2018,1,54,1,6,16,7,0,779,
2018,1,54,1,6,16,7,1,352,
2018,1,54,1,6,16,7,2,197,
2018,1,54,1,6,16,7,3,135,
2018,1,54,1,6,16,7,4,137,
2018,1,54,1,6,16,7,5,111,
2018,1,54,1,6,16,7,6,281,
2018,1,54,1,6,16,7,7,476,
2018,1,54,1,6,16,7,8,826,
2018,1,54,1,6,16,7,9,1376,
2018,1,54,1,6,16,7,10,1722,
2018,1,54,1,6,16,7,11,1903,
2018,1,54,1,6,16,7,12,2055,
2018,1,54,1,6,16,7,13,2123,
2018,1,54,1,6,16,7,14,2209,
2018,1,54,1,6,16,7,15,2655,
2018,1,54,1,6,16,7,16,2603,
2018,1,54,1,6,16,7,17,2477,
2018,1,54,1,6,16,7,18,2548,
2018,1,54,1,6,16,7,19,2317,
2018,1,54,1,6,16,7,20,2273,
2018,1,54,1,6,16,7,21,3252,
2018,1,54,1,6,16,7,22,3525,
