pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,kvish1,kvish2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,hodesh,shaa,SUG_YOM,YOM_LAYLA,yom,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,kvish,keta,kamut_kle_rehev
2021000010,1,1,3,0,,,,,89.0,8833.0,72.0,1439.0,12,2021,6,65,4,1,2,3,2,0,3,4,1,3,3,1,1,1,9,9,9,0,0,9,2,45,245,99.0,99,1,216335.0,768965.0,89,40,96.85416666666667
2021000010,1,1,3,0,,,,,89.0,8833.0,72.0,1439.0,12,2021,6,65,4,1,2,3,2,0,3,4,1,3,3,1,1,1,9,9,9,0,0,9,2,45,245,99.0,99,1,216335.0,768965.0,89,60,365.625
2021000046,1,1,4,0,,,,,35.0,0.0,330.0,,38,2021,1,65,4,1,1,3,5,3,0,4,1,3,4,1,1,1,9,9,9,0,0,9,6,12,612,99.0,99,1,191181.0,613408.0,35,20,549.375
2021000046,1,1,4,0,,,,,35.0,0.0,330.0,,38,2021,1,65,4,1,1,3,5,3,0,4,1,3,4,1,1,1,9,9,9,0,0,9,6,12,612,99.0,99,1,191181.0,613408.0,35,30,746.0833333333334
2021000046,1,1,4,0,,,,,35.0,0.0,330.0,,38,2021,1,65,4,1,1,3,5,3,0,4,1,3,4,1,1,1,9,9,9,0,0,9,6,12,612,99.0,99,1,191181.0,613408.0,35,50,197.83333333333334
2021000050,1,1,3,0,,,,,57.0,562.0,85.0,10765.0,51,2021,9,56,4,1,6,3,2,0,3,4,1,5,3,1,1,1,9,9,9,0,0,9,4,11,411,99.0,99,1,195903.0,691407.0,57,20,1225.0625
2021000050,1,1,3,0,,,,,57.0,562.0,85.0,10765.0,51,2021,9,56,4,1,6,3,2,0,3,4,1,5,3,1,1,1,9,9,9,0,0,9,4,11,411,99.0,99,1,195903.0,691407.0,57,30,1054.4791666666667
2021000050,1,1,3,0,,,,,57.0,562.0,85.0,10765.0,51,2021,9,56,4,1,6,3,2,0,3,4,1,5,3,1,1,1,9,9,9,0,0,9,4,11,411,99.0,99,1,195903.0,691407.0,57,38,764.0
2021000154,1,1,4,0,,,,,806.0,0.0,77.0,,12,2021,9,45,2,1,2,3,2,2,0,1,1,3,3,1,1,1,9,9,9,0,0,9,2,22,222,99.0,99,1,238369.0,754072.0,806,20,237.4375
2021000154,1,1,4,0,,,,,806.0,0.0,77.0,,12,2021,9,45,2,1,2,3,2,2,0,1,1,3,3,1,1,1,9,9,9,0,0,9,2,22,222,99.0,99,1,238369.0,754072.0,806,30,226.0
2021000173,1,1,4,0,,,,,57.0,0.0,140.0,,51,2021,6,46,4,1,3,3,2,3,0,3,1,3,3,1,1,1,9,9,9,0,0,9,4,12,412,99.0,99,1,201289.0,691082.0,57,40,651.4166666666666
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,4,2126.5416666666665
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,5,3565.3333333333335
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,7,3961.5833333333335
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,8,4451.208333333333
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,9,4662.583333333333
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,12,3818.0
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,13,6256.041666666667
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,14,6321.875
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,15,5141.041666666667
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,16,4263.041666666667
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,17,5509.0
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,20,2133.5416666666665
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,21,2174.3333333333335
2021000230,1,1,4,0,,,,,20.0,0.0,54.0,,20,2021,4,57,4,1,3,3,3,1,0,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,513,99.0,99,1,177328.0,655951.0,20,22,1465.2916666666667
