pk_teuna_fikt,thum_geografi,sug_dereh,semel_yishuv,rehov1,rehov2,bayit,zomet_ironi,kvish1,kvish2,km,zomet_lo_ironi,yehida,shnat_teuna,hodesh_teuna,shaa,sug_yom,yom_layla,yom_bashavua,humrat_teuna,sug_teuna,had_maslul,rav_maslul,mehirut_muteret,tkinut,rohav,simun_timrur,teura,mezeg_avir,pne_kvish,sug_ezem,merhak_ezem,lo_haza,ofen_haziya,mekom_haziya,kivun_haziya,mahoz,nafa,ezor_tivi,maamad_minizipali,zurat_ishuv,status_igun,x,y,average_traffic_count
2014000043,1,3,0,,,,,71,669,312,1277,14,2014,4,1,4,5,4,3,2,2,0,4,1,4,3,3,1,1,9,9,9,0,0,9,2,32,232,99,99,1,241275,716458,487.493686868687
2014000046,1,3,0,,,,,65,0,186,1099,11,2014,3,1,4,5,3,3,2,0,3,5,1,3,3,6,1,1,9,9,9,0,0,9,3,32,323,99,99,1,206194,711475,874.227355072464
2014000047,1,3,0,,,,,4314,0,19,4170,52,2014,3,1,2,5,7,3,2,0,2,5,1,4,2,3,1,1,9,9,9,0,0,9,4,31,431,99,99,1,194058,649408,113.091666666667
2014000052,1,4,0,,,,,73,0,40,,14,2014,2,1,4,5,6,3,2,2,0,4,0,4,3,3,1,1,6,2,9,0,0,9,2,23,234,99,99,1,220950,731264,534.739583333333
2014000053,1,3,0,,,,,443,444,46,2019,52,2014,2,1,4,5,6,3,2,3,0,4,1,3,3,3,1,1,9,9,9,0,0,9,4,31,431,99,99,1,194395,651276,694.747023809524
2014000056,1,3,0,,,,,4,85,2305,4050,12,2014,2,1,4,5,7,3,2,0,3,5,1,4,3,3,1,1,9,9,9,0,0,9,2,24,246,99,99,1,209402,758228,718.821052631579
2014000058,1,3,0,,,,,65,0,279,1111,11,2014,2,1,4,5,6,3,2,0,3,5,1,3,3,6,1,1,9,9,9,0,0,9,3,32,323,99,99,1,214125,715443,630.244565217391
2014000060,1,3,0,,,,,77,79,498,1355,14,2014,2,1,4,5,7,3,2,0,3,4,1,3,3,3,1,1,2,2,9,0,0,9,2,37,237,99,99,1,222133,740398,608.890151515152
2014000065,1,4,0,,,,,75,0,302,,14,2014,1,1,4,5,5,3,2,9,0,4,0,3,3,3,1,1,9,9,9,0,0,9,2,23,235,99,99,1,217211,734426,1014.68018018018
2014000067,1,4,0,,,,,652,0,50,,11,2014,1,1,4,5,6,3,2,2,0,4,1,4,3,6,1,1,9,9,9,0,0,9,3,32,324,99,99,1,196232,717055,598.231837606838
2014000070,1,3,0,,,,,65,785,746,1149,14,2014,1,1,4,5,4,3,2,2,0,5,1,0,2,3,1,1,9,9,9,0,0,9,2,22,222,99,99,1,237704,746016,839.416213768116
2014000071,1,4,0,,,,,6,0,1740,,11,2014,1,1,4,5,6,3,3,0,2,6,1,3,3,6,1,1,9,9,9,0,0,9,3,24,324,99,99,1,202056,699146,1164.29166666667
2014000091,1,4,0,,,,,4,0,1435,,51,2014,2,1,4,5,1,3,3,0,3,5,1,3,3,6,1,1,9,9,9,0,0,9,4,41,411,99,99,1,190694,689192,1158.40197368421
