pk_teuna_fikt,thum_geografi,sug_dereh,semel_yishuv,rehov1,rehov2,bayit,zomet_ironi,kvish1,kvish2,km,zomet_lo_ironi,yehida,shnat_teuna,hodesh_teuna,shaa,sug_yom,yom_layla,yom_bashavua,humrat_teuna,sug_teuna,had_maslul,rav_maslul,mehirut_muteret,tkinut,rohav,simun_timrur,teura,mezeg_avir,pne_kvish,sug_ezem,merhak_ezem,lo_haza,ofen_haziya,mekom_haziya,kivun_haziya,mahoz,nafa,ezor_tivi,maamad_minizipali,zurat_ishuv,status_igun,x,y,average_traffic_count
2014000168,1,4,0,,,,,87,0,81,,12,2014,3,25,4,5,1,1,5,2,0,4,1,3,3,6,2,2,9,9,9,0,0,9,2,93,293,99,99,1,257966,756421,130.68
2014000349,1,4,0,,,,,6,0,950,,38,2014,4,3,1,5,3,1,1,0,2,7,1,3,4,5,1,1,9,9,9,0,0,9,6,11,611,99,99,1,183354,628469,1672.63392857143
2014000451,1,4,0,,,,,25,0,1450,,34,2014,4,7,4,5,2,1,1,0,4,5,1,3,3,3,1,1,9,9,9,1,2,2,6,62,623,99,99,1,198823,555110,525.622807017544
2014000504,1,4,0,,,,,4,0,690,,38,2014,4,9,4,5,3,1,1,0,2,5,1,3,4,5,1,1,9,9,9,3,2,9,6,14,614,99,99,1,164046,623460,1149.90548245614
2014000506,1,4,0,,,,,40,0,2465,,38,2014,1,9,4,5,6,1,1,0,2,4,1,4,3,3,1,1,9,9,9,1,2,1,6,61,611,99,99,1,178740,628739,671.090476190476
2014000544,1,3,0,,,,,40,4233,2649,731,52,2014,1,10,4,5,6,1,3,0,3,5,1,3,3,3,1,1,9,9,9,0,0,9,4,44,441,99,99,1,184386,643751,671.090476190476
2014000702,1,3,0,,,,,40,531,3012,4198,51,2014,4,18,4,5,7,1,2,0,3,3,1,4,3,3,1,1,3,1,9,0,0,9,4,42,421,99,99,1,193234,674619,485.422380952381
2014000764,1,4,0,,,,,85,0,370,,12,2014,2,22,4,5,4,1,5,3,0,4,1,3,3,5,1,1,9,9,9,0,0,9,2,12,212,99,99,1,242896,756693,1049.7337962963
2014000806,1,4,0,,,,,25,0,1990,,34,2014,1,23,4,5,5,1,1,0,3,5,1,4,4,6,1,1,9,9,9,3,2,2,6,22,622,99,99,1,166967,583238,541.663011695906
2014000889,1,4,0,,,,,2,0,240,,20,2014,2,25,4,5,1,1,1,1,0,5,1,4,3,3,1,1,9,9,9,0,0,9,5,51,511,99,99,1,182268,673991,1854.03385416667
2014001039,1,4,0,,,,,90,0,4010,,14,2014,2,27,4,5,3,1,2,3,0,4,1,4,3,6,1,1,9,9,9,0,0,9,2,22,221,99,99,1,254780,731843,343.301820728291
2014001199,1,3,0,,,,,70,85,661,1227,12,2014,4,29,2,1,1,1,2,0,3,4,1,3,3,1,1,1,9,9,9,0,0,9,2,24,246,99,99,1,215919,757449,977.527777777778
