pk_teuna_fikt,thum_geografi,sug_dereh,semel_yishuv,rehov1,rehov2,bayit,zomet_ironi,kvish1,kvish2,km,zomet_lo_ironi,yehida,shnat_teuna,hodesh_teuna,shaa,sug_yom,yom_layla,yom_bashavua,humrat_teuna,sug_teuna,had_maslul,rav_maslul,mehirut_muteret,tkinut,rohav,simun_timrur,teura,mezeg_avir,pne_kvish,sug_ezem,merhak_ezem,lo_haza,ofen_haziya,mekom_haziya,kivun_haziya,mahoz,nafa,ezor_tivi,maamad_minizipali,zurat_ishuv,status_igun,x,y,average_traffic_count
2014000003,1,4,0,,,,,20,0,90,,20,2014,1,1,4,5,4,2,1,1,0,1,1,3,3,3,1,1,9,9,9,1,2,2,5,53,513,99,99,1,177520,659502,3943.83680555556
2014000044,1,4,0,,,,,40,0,2376,,38,2014,4,1,4,5,5,2,2,0,2,5,1,3,4,3,1,1,9,9,9,0,0,9,6,61,611,99,99,1,177797,620776,1020.0569047619
2014000197,1,4,0,,,,,789,0,18,,12,2014,2,1,4,5,7,2,9,3,0,4,1,3,3,6,1,1,6,2,9,0,0,9,2,94,294,99,99,1,262865,747751,26.2083333333333
2014000198,2,4,0,,,,,90,0,2996,,43,2014,2,1,4,5,6,2,9,3,0,5,1,4,3,6,1,1,9,9,9,0,0,9,7,77,77,99,99,1,245724,642945,262.800770308123
2014000293,1,3,0,,,,,4,6531,1706,375,11,2014,1,3,4,5,6,2,1,0,3,5,1,3,3,3,1,1,9,9,9,1,1,1,3,32,324,99,99,1,193559,715570,905.887280701754
2014000341,1,4,0,,,,,781,0,165,,12,2014,2,3,4,5,6,2,19,2,0,4,1,3,3,5,1,1,9,9,9,0,0,9,2,24,241,99,99,1,220347,748769,618.5625
2014000393,1,4,0,,,,,4,0,1280,,51,2014,4,5,4,5,5,2,3,0,2,5,1,3,3,3,1,1,9,9,9,0,0,9,4,42,421,99,99,1,188654,674341,1199.32894736842
2014000423,1,4,0,,,,,1,0,30,,20,2014,3,5,4,5,4,2,15,1,0,5,1,4,3,3,1,1,9,9,9,0,0,9,5,53,513,99,99,1,182096,659407,2333.80555555556
2014000484,1,3,0,,,,,4,34,550,263,38,2014,1,7,4,5,6,2,8,0,3,5,1,4,3,3,1,1,1,9,9,0,0,9,6,61,614,99,99,1,158608,610865,905.887280701754
2014000604,1,4,0,,,,,85,0,37,,12,2014,3,13,4,5,7,2,5,0,3,5,1,5,3,3,1,1,9,9,9,0,0,9,2,46,246,99,99,1,211560,757946,775.540895061728
2014000705,1,4,0,,,,,79,0,10,,11,2014,4,18,1,5,2,2,8,0,2,1,1,0,3,6,9,1,3,4,9,0,0,9,3,31,311,99,99,1,209850,749922,1110.2803030303
2014000772,1,3,0,,,,,34,232,91,553,38,2014,1,22,4,5,1,2,1,0,3,1,1,3,3,6,1,1,9,9,9,2,1,1,6,61,614,99,99,1,160794,601897,750.955357142857
2014000781,1,4,0,,,,,780,0,30,,11,2014,3,23,4,5,6,2,2,3,0,1,1,3,3,3,1,1,9,9,9,0,0,9,3,11,311,99,99,1,209863,744415,378.458333333333
2014000793,1,3,0,,,,,70,85,661,1227,12,2014,3,23,4,5,5,2,7,0,2,5,1,4,3,4,2,1,9,9,9,0,0,9,2,24,246,99,99,1,215919,757449,1018.25868055556
2014000795,1,4,0,,,,,85,0,160,,12,2014,3,23,4,5,1,2,8,0,3,5,1,4,3,6,1,1,3,9,9,0,0,9,2,24,242,99,99,1,223458,757943,1043.46836419753
2014000801,1,4,0,,,,,375,0,50,,61,2014,2,23,4,5,1,2,10,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,1,12,112,99,99,1,199858,621523,348.484375
2014000830,1,4,0,,,,,31,,,,34,2014,1,24,4,5,5,2,1,2,0,2,1,3,3,4,1,1,9,9,9,1,2,1,6,62,623,99,99,3,213282,573709,496.049242424242
2014000846,1,3,0,,,,,60,0,56,3655,34,2014,4,24,4,5,7,2,8,2,0,4,1,3,3,6,1,1,2,2,9,0,0,9,6,62,623,99,99,1,184958,575373,463.50176056338
2014001038,1,4,0,,,,,574,0,80,,11,2014,2,27,4,1,3,2,2,3,0,2,1,3,3,1,1,1,9,9,9,0,0,9,3,24,324,99,99,1,204103,698957,775.022727272727
2014001106,2,4,0,,,,,60,0,970,,43,2014,1,28,4,5,3,2,5,2,0,4,1,3,3,6,1,1,8,2,9,0,0,9,7,77,77,99,99,1,224910,640921,740.272887323944
2014001167,1,4,0,,,,,40,0,2930,,51,2014,1,28,4,5,6,2,3,0,2,1,1,2,3,6,1,1,9,9,9,0,0,9,4,42,422,99,99,1,190616,667515,671.090476190476
2014001301,1,4,0,,,,,90,0,1970,,34,2014,1,29,4,1,2,2,10,3,0,5,1,3,3,1,1,1,9,9,9,0,0,9,6,24,624,99,99,1,237854,553554,341.35119047619
2014001847,1,4,0,,,,,40,0,1620,,34,2014,3,31,2,1,7,2,3,0,2,5,1,4,3,1,1,1,9,9,9,0,0,9,6,26,626,99,99,1,183619,555756,485.422380952381
2014002219,1,4,0,,,,,5,0,70,,51,2014,1,32,4,1,3,2,3,0,2,5,1,5,4,1,1,1,9,9,9,0,0,9,4,42,422,99,99,1,187758,669709,1756.36494252874
2014002401,1,4,0,,,,,232,0,580,,38,2014,2,33,4,1,1,2,2,1,0,3,1,3,3,1,1,1,9,9,9,0,0,9,6,61,614,99,99,1,161951,602972,351.511458333333
2014002524,1,4,0,,,,,5,0,50,,20,2014,2,33,4,1,5,2,3,1,0,5,1,4,3,1,1,1,9,9,9,0,0,9,5,51,511,99,99,1,185919,670506,1834.31752873563
